"type","income","education","prestige","profession"
"prof",62,86,82,"accountant"
"prof",72,76,83,"pilot"
"prof",75,92,90,"architect"
"prof",55,90,76,"author"
"prof",64,86,90,"chemist"
"prof",21,84,87,"minister"
"prof",64,93,93,"professor"
"prof",80,100,90,"dentist"
"wc",67,87,52,"reporter"
"prof",72,86,88,"engineer"
"prof",42,74,57,"undertaker"
"prof",76,98,89,"lawyer"
"prof",76,97,97,"physician"
"prof",41,84,59,"welfare.worker"
"prof",48,91,73,"teacher"
"wc",76,34,38,"conductor"
"prof",53,45,76,"contractor"
"prof",60,56,81,"factory.owner"
"prof",42,44,45,"store.manager"
"prof",78,82,92,"banker"
"wc",29,72,39,"bookkeeper"
"wc",48,55,34,"mail.carrier"
"wc",55,71,41,"insurance.agent"
"wc",29,50,16,"store.clerk"
"bc",21,23,33,"carpenter"
"bc",47,39,53,"electrician"
"bc",81,28,67,"RR.engineer"
"bc",36,32,57,"machinist"
"bc",22,22,26,"auto.repairman"
"bc",44,25,29,"plumber"
"bc",15,29,10,"gas.stn.attendant"
"bc",7,7,15,"coal.miner"
"bc",42,26,19,"streetcar.motorman"
"bc",9,19,10,"taxi.driver"
"bc",21,15,13,"truck.driver"
"bc",21,20,24,"machine.operator"
"bc",16,26,20,"barber"
"bc",16,28,7,"bartender"
"bc",9,17,3,"shoe.shiner"
"bc",14,22,16,"cook"
"bc",12,30,6,"soda.clerk"
"bc",17,25,11,"watchman"
"bc",7,20,8,"janitor"
"bc",34,47,41,"policeman"
"bc",8,32,10,"waiter"
